opening,count,avg_cpl,top1_pct
Kings Gambit Declined Queens Knight Defense 3.Nf3,12249,199.21773205975998,41.82382235284513
Kings Gambit Accepted Kings Knight Gambit,6780,209.38289085545722,40.9882005899705
Scandinavian Defense 2.e5,6116,209.27141922825376,37.13211249182472
Italian Game,5760,253.18854166666668,40.38194444444444
Caro Kann Defense 2.f4 d5 3.e5,5556,167.9483441324694,37.3110151187905
Kings Pawn Opening 1...e5,4549,312.26709166849855,37.23895361617938
Reti Opening Kingside Fianchetto Variation 2.e4 Bg7,4454,175.09923664122138,34.46340368208352
Kings Gambit 2...d6 3.Nf3,4423,186.63983721456026,35.74496947773005
Old Benoni Defense,4391,221.65953085857436,36.93919380551127
French Defense La Bourdonnais Variation,4351,203.7458055619398,36.1066421512296
Old Benoni Defense 2.dxc5,4185,231.05400238948627,35.842293906810035
Kings Pawn Opening Kings Knight Variation,3185,264.02574568288856,40.470957613814754
Modern Defense with 1 e4 2.d4 Bg7,3120,189.2176282051282,36.73076923076923
Kings Gambit Accepted Fischer Defense 4.d4,2648,190.5015105740181,40.25679758308157
Three Knights Opening 3...Bc5,2575,214.78912621359223,36.85436893203883
Owens Defense,2477,202.36899475171577,37.424303593056116
Petrovs Defense,2477,263.29390391602743,37.3031893419459
Sicilian Defense McDonnell Attack 2...Nc6 3.Nf3 e6,2343,152.70422535211267,38.028169014084504
Modern Defense with 1 e4,2253,181.0341766533511,35.19751442521083
Van t Kruijs Opening 1...e5,2231,216.44509188704617,35.051546391752574
Kings Gambit,2185,268.8732265446224,37.20823798627002
Bishops Opening 2...Nc6,2164,226.5573012939002,35.07393715341959
Sicilian Defense McDonnell Attack 2...d6 3.Nf3 Nc6,2023,148.93425605536333,39.59466139396935
Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6,2020,269.3331683168317,40.04950495049505
Kings Pawn Opening Leonardis Variation,2002,251.35914085914087,35.064935064935064
Italian Game Knight Attack Normal Variation 5.exd5,1989,296.60432378079435,50.52790346907994
Modern Defense Three Pawns Attack 3...d6 4.Nf3,1846,134.2643553629469,36.6738894907909
Petrovs Defense Classical Variation,1842,237.52768729641693,36.644951140065146
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3,1792,207.59375,35.267857142857146
French Defense La Bourdonnais Variation 2...d5 3.e5 c5,1790,208.63072625698325,34.41340782122905
Modern Defense with 1 e4 2.Bc4 Bg7,1710,170.3093567251462,31.929824561403507
Scandinavian Defense,1707,216.94258933801993,36.1452841241945
Modern Defense Standard Two Knights Variation 4...Nd7,1693,200.97105729474305,32.95924394565859
Kings Gambit Accepted Modern Defense,1616,177.83601485148515,39.851485148514854
French Defense La Bourdonnais Variation...3.e5 c5 4.Nf3 Nc6 5.c3,1578,168.74778200253485,38.27629911280101
Modern Defense Standard Two Knights Variation 4...Nd7 5.Bc4,1576,223.16116751269035,34.263959390862944
Modern Defense with 1 e4 2.d3 Bg7,1482,229.54925775978407,30.701754385964914
Van t Kruijs Opening 1...g6,1474,167.81275440976933,33.242876526458616
French Defense La Bourdonnais Variation 2...d5 3.e5,1473,160.90631364562117,38.96809232858113
Center Game Accepted Normal Variation,1460,272.2958904109589,37.80821917808219
Philidor Defense 3.Bc4,1459,294.3742289239205,39.89033584647019
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3 d6,1455,185.1621993127148,34.63917525773196
Kings Gambit Declined Falkbeer Countergambit Accepted,1445,188.25121107266435,45.536332179930795
French Defense Knight Variation,1440,213.59722222222223,33.68055555555556
Petrovs Defense Three Knights Game,1426,288.70126227208976,32.889200561009815
Kings Pawn Opening,1421,305.2280084447572,35.045742434904994
Ruy Lopez Opening Old Steinitz Defense,1396,190.0093123209169,37.96561604584527
Modern Defense Bishop Attack 3...d6 4.Nf3,1366,158.9670571010249,33.74816983894583
Modern Defense with 1 d4,1314,249.10502283105023,32.57229832572298
Modern Defense Three Pawns Attack with 2 f4...Bg7 3.Nf3,1301,137.5641813989239,36.1260568793236
Scandinavian Defense Mieses Kotrc Variation 3.Nc3,1292,249.28560371517028,41.48606811145511
Modern Defense with 1 e4 2.Nc3 Bg7,1181,239.77222692633362,28.958509737510585
Giuoco Piano Game Center Attack 5...exd4 6.e5,1163,205.65950128976783,45.22785898538263
Italian Game 3...d6 4.c3,1136,277.83978873239437,36.53169014084507
Modern Defense with 1 e4 2.Bc4 Bg7 3.Qf3 e6,1105,226.50950226244345,35.65610859728507
Kings Fianchetto Opening 1...e5 2.Bg2 d5,1105,250.05158371040724,35.74660633484163
Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Canal Variation,1060,225.36603773584906,40.37735849056604
Giuoco Piano Game 4.O O Nf6 5.Nc3 d6,1055,152.56208530805688,41.99052132701422
