time_control,count,avg_cpl,median_cpl,top1_pct
180,196677,211.11715147170233,16.0,37.12279524296181
600,95558,227.66068774984825,16.0,38.4813411749932
60,15361,276.7576980665321,24.0,33.74129288457783
120+1,9130,258.5732749178532,22.0,37.29463307776561
300,3298,264.82019405700424,21.0,38.144329896907216
60+1,1026,312.1140350877193,25.0,34.89278752436647
900+10,152,342.0,8.0,40.131578947368425
1800,81,503.24691358024694,0.0,54.32098765432099
603,30,92.16666666666667,13.5,46.666666666666664
180+2,26,102.84615384615384,40.0,30.76923076923077
